0,1
2,1
3,1
4,1
4,2
4,0
5,1
5,2
5,0
6,1
6,3
6,2
7,3
7,1
7,2
8,1
8,0
8,2
9,2
9,1
9,0
10,2
10,3
10,0
11,3
11,2
11,6
12,5
12,1
12,6
13,2
13,6
13,0
14,2
14,10
14,4
15,0
15,3
15,1
16,3
16,0
16,1
17,1
17,15
17,2
18,0
18,3
18,10
19,3
19,1
19,15
20,1
20,2
20,6
21,0
21,2
21,6
22,1
22,6
22,0
23,1
23,22
23,6
24,22
24,6
24,3
25,22
25,3
25,1
26,0
26,3
26,1
27,0
27,2
27,6
28,27
28,6
28,0
29,0
29,15
29,3
30,1
30,6
30,2
31,2
31,6
31,0
32,3
32,14
32,2
33,5
33,0
33,10
34,0
34,25
34,1
35,3
35,28
35,2
36,2
36,1
36,3
37,2
37,29
37,5
38,1
38,3
38,10
39,2
39,1
39,33
40,3
40,1
40,10
41,1
41,0
41,2
42,0
42,6
42,20
43,1
43,6
43,3
44,29
44,0
44,3
45,2
45,6
45,0
46,45
46,0
46,32
47,8
47,45
47,0
48,45
48,32
48,3
49,45
49,2
49,46
50,19
50,6
50,2
51,11
51,47
51,3
52,6
52,27
52,1
53,6
53,3
53,46
54,3
54,45
54,0
55,17
55,2
55,28
56,36
56,19
56,3
57,3
57,46
57,14
58,46
58,1
58,6
59,25
59,56
59,2
60,19
60,6
60,2
61,36
61,32
61,2
62,55
62,1
62,14
63,2
63,6
63,33
64,10
64,7
64,46
65,37
65,2
65,7
66,32
66,5
66,27
67,1
67,2
67,4
68,1
68,10
68,0
69,22
69,1
69,55
70,0
70,3
70,47
71,3
71,2
71,29
72,2
72,3
72,10
73,6
73,26
73,1
74,1
74,17
74,6
75,0
75,1
75,6
76,2
76,3
76,31
77,33
77,6
77,2
78,1
78,3
78,26
79,32
79,0
79,1
80,28
80,2
80,0
81,36
81,6
81,42
82,0
82,7
82,19
83,3
83,48
83,10
84,26
84,19
84,69
85,0
85,1
85,84
86,27
86,6
86,23
87,2
87,3
87,84
88,0
88,17
88,6
89,1
89,19
89,46
90,27
90,0
90,84
91,12
91,7
91,0
92,8
92,10
92,3
93,3
93,29
93,6
94,51
94,10
94,14
95,10
95,1
95,57
96,91
96,17
96,3
97,6
97,36
97,3
98,1
98,46
98,28
99,1
99,6
99,24
100,10
100,0
100,2
101,24
101,1
101,53
102,34
102,32
102,10
103,84
103,0
103,33
104,2
104,15
104,12
105,3
105,63
105,10
106,28
106,6
106,3
107,30
107,91
107,1
108,22
108,1
108,17
109,2
109,1
109,48
110,104
110,1
110,6
111,2
111,14
111,3
112,0
112,31
112,2
113,2
113,1
113,33
114,11
114,1
114,73
115,22
115,76
115,29
116,10
116,111
116,46
117,1
117,70
117,36
118,22
118,93
118,53
119,45
119,2
119,103
120,109
120,3
120,6
121,108
121,104
121,2
122,7
122,3
122,29
123,10
123,46
123,3
124,1
124,24
124,0
125,5
125,10
125,83
126,64
126,2
126,7
127,49
127,15
127,10
128,91
128,25
128,2
129,2
129,27
129,0
130,25
130,14
130,78
131,29
131,47
131,3
132,22
132,6
132,5
133,36
133,2
133,3
134,30
134,29
134,27
135,1
135,105
135,49
136,15
136,10
136,3
137,17
137,2
137,1
138,3
138,48
138,28
139,0
139,1
139,2
140,102
140,17
140,3
141,108
141,14
141,91
142,45
142,2
142,33
143,2
143,45
143,10
144,29
144,3
144,108
145,1
145,8
145,29
146,46
146,62
146,2
147,145
147,53
147,3
148,10
148,3
148,1
149,48
149,53
149,2
150,2
150,114
150,3
151,2
151,1
151,0
152,17
152,33
152,112
153,72
153,0
153,91
154,2
154,34
154,0
155,2
155,91
155,14
156,1
156,3
156,33
157,0
157,131
157,46
158,45
158,0
158,10
159,5
159,48
159,0
160,0
160,3
160,8
161,1
161,9
161,3
162,55
162,27
162,139
163,33
163,104
163,6
164,3
164,10
164,66
165,0
165,6
165,1
166,6
166,1
166,60
167,0
167,46
167,45
168,55
168,3
168,108
169,2
169,29
169,75
170,42
170,1
170,3
171,53
171,55
171,28
172,1
172,3
172,64
173,1
173,6
173,45
174,27
174,19
174,2
175,36
175,2
175,12
176,6
176,33
176,70
177,2
177,3
177,1
178,46
178,2
178,6
179,2
179,1
179,29
180,51
180,5
180,111
181,0
181,3
181,109
182,1
182,6
182,43
183,48
183,12
183,46
184,19
184,30
184,112
185,108
185,3
185,73
186,22
186,165
186,14
187,62
187,2
187,122
188,10
188,15
188,22
189,1
189,3
189,15
190,2
190,10
190,147
191,109
191,102
191,103
192,3
192,1
192,14
193,160
193,69
193,25
194,12
194,2
194,123
195,142
195,84
195,111
196,98
196,12
196,2
197,10
197,0
197,27
198,90
198,0
198,34
199,46
199,164
199,3
200,14
200,2
200,12
201,91
201,10
201,0
202,45
202,132
202,24
203,133
203,65
203,1
204,10
204,1
204,8
205,5
205,3
205,202
206,82
206,57
206,106
207,46
207,3
207,42
208,0
208,29
208,2
209,20
209,3
209,42
210,32
210,46
210,6
211,60
211,36
211,3
212,3
212,109
212,94
213,158
213,5
213,142
214,26
214,61
214,2
215,0
215,28
215,19
216,1
216,5
216,102
217,112
217,10
217,214
218,102
218,9
218,1
219,5
219,0
219,109
220,19
220,2
220,34
221,6
221,1
221,126
222,97
222,15
222,22
223,66
223,10
223,1
224,123
224,146
224,216
225,105
225,1
225,47
226,72
226,6
226,45
227,31
227,2
227,29
228,3
228,69
228,26
229,2
229,147
229,203
230,3
230,214
230,22
231,6
231,33
231,12
232,117
232,19
232,98
233,3
233,2
233,12
234,2
234,12
234,11
235,3
235,20
235,123
236,3
236,55
236,216
237,22
237,1
237,2
238,20
238,1
238,10
239,84
239,147
239,2
240,12
240,2
240,29
241,33
241,191
241,29
242,27
242,1
242,10
243,202
243,3
243,2
244,19
244,27
244,25
245,2
245,131
245,3
246,25
246,126
246,22
247,1
247,104
247,10
248,46
248,159
248,1
249,33
249,22
249,10
250,1
250,215
250,196
251,89
251,6
251,157
252,2
252,0
252,1
253,14
253,5
253,36
254,91
254,3
254,1
255,36
255,15
255,3
256,108
256,26
256,36
257,1
257,10
257,111
258,246
258,243
258,114
259,105
259,1
259,113
260,112
260,147
260,25
261,42
261,45
261,83
262,33
262,32
262,6
263,84
263,10
263,2
264,2
264,47
264,10
265,0
265,114
265,250
266,76
266,9
266,198
267,45
267,48
267,0
268,32
268,14
268,3
269,107
269,65
269,14
270,10
270,1
270,66
271,131
271,10
271,191
272,45
272,10
272,177
273,97
273,250
273,191
274,48
274,24
274,121
275,1
275,102
275,3
276,15
276,84
